contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
SYNK107,SYN Independent synthetic K107,2039-05-28,Synthetic,SYN Non-live (Others),2,2040-06-17,2040-04-08,1,PM,1
PCPKDIRECT,PCP ECLO cost contributor,2039-05-28,PostPrecedenceContractTradeoff,PCP Non-live (Others),1,2040-06-17,2040-01-29,1,PM,1
ICBKIPC4,ICB Irregular coupled IPC4,2039-06-02,IrregularCoupled,ICB Non-live (Consist),3,2040-02-12,2040-01-15,1,PC,1
CAPKGPC2,CAP B excess budget GPC2,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
PCPKCOMP,PCP Footprint competitor,2039-05-28,PostPrecedenceContractTradeoff,PCP Non-live (Others),3,2040-06-17,2040-03-11,1,C,1
SYNK104,SYN Independent synthetic K104,2039-05-28,Synthetic,SYN Non-live (Consist),2,2040-06-17,2040-03-04,1,C,2
CAPKGC67,CAP B excess budget GC67,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
CAPKGPC1,CAP B excess budget GPC1,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CAPKGC34,CAP B excess budget GC34,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
SYNK103,SYN Independent synthetic K103,2039-05-28,Synthetic,SYN Live,1,2040-06-17,2040-02-12,1,PM,1
SYNK102,SYN Independent synthetic K102,2039-05-28,Synthetic,SYN Non-live (Consist),2,2040-06-17,2040-02-05,1,PC,2
SYNK106,SYN Independent synthetic K106,2039-05-28,Synthetic,SYN Non-live (Others),3,2040-06-17,2040-04-01,1,C,2
ICBKIC12,ICB Irregular coupled IC12,2039-06-02,IrregularCoupled,ICB Non-live (Consist),3,2040-02-12,2040-01-15,1,C,1
CAPKGPC4,CAP B excess budget GPC4,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
SYNK101,SYN Independent synthetic K101,2039-05-28,Synthetic,SYN Non-live (Others),3,2040-06-17,2040-01-15,1,C,2
CAPKGPC7,CAP B excess budget GPC7,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,PC,1
CBDKBC5,CBD Coupled deadline BC5,2039-06-01,CoupledDeadline,CBD Non-live (Consist),3,2040-01-29,2040-01-15,1,C,1
CBDKBPC3,CBD Coupled deadline BPC3,2039-06-01,CoupledDeadline,CBD Non-live (Consist),3,2040-01-29,2040-01-15,1,PC,1
CAPKGC23,CAP B excess budget GC23,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
SYNK105,SYN Independent synthetic K105,2039-05-28,Synthetic,SYN Live,1,2040-06-17,2040-03-18,1,PC,2
CBDKBC6,CBD Coupled deadline BC6,2039-06-01,CoupledDeadline,CBD Non-live (Consist),3,2040-01-29,2040-01-15,1,C,1
CAPKGC45,CAP B excess budget GC45,2039-05-27,BudgetCap,CAP Non-live (Consist),3,2040-01-08,2040-01-08,1,C,1
